t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
22376331,0.00,-0.03,1.01,0.97,0.38,-0.32,37.35,-1.79,-26.38
22426173,0.01,-0.01,1.01,-6.42,-0.60,-6.36,36.79,-0.82,-27.05
22475759,-0.04,0.40,1.00,0.91,0.32,12.13,36.74,-1.67,-26.33
22527058,-0.03,0.25,1.00,0.97,0.62,3.22,36.82,-1.95,-25.95
22575555,0.04,0.07,1.01,-3.18,0.44,-1.17,36.72,-2.17,-24.74
22625850,0.02,-0.24,1.01,-1.96,0.62,-11.18,37.06,-2.03,-24.44
22676277,-0.02,-0.22,1.00,-1.60,0.20,-2.70,35.99,-1.05,-25.09
22726576,-0.03,-0.64,1.00,0.91,0.69,-6.24,35.25,-1.12,-25.26
22775246,-0.04,-0.04,1.01,1.27,0.75,-8.62,35.11,-0.54,-26.01
22825441,0.01,-0.15,1.01,1.21,-0.47,3.59,35.88,-1.06,-24.65
22875809,-0.01,-0.32,1.00,2.37,0.56,-1.60,35.84,-0.40,-23.24
22924622,-0.03,-0.33,1.00,-2.02,-0.23,-8.56,36.21,-0.87,-23.79
22975432,0.02,-0.22,0.99,3.10,-0.84,-27.17,37.08,-0.54,-24.11
23025532,-0.01,0.00,1.00,6.22,-15.73,-3.61,36.91,-0.62,-25.56
23074731,0.07,0.21,0.99,6.64,-0.66,7.25,36.66,-0.99,-25.02
23124109,0.01,0.37,1.00,4.63,0.14,15.19,37.21,-0.24,-26.94
23174854,-0.02,0.26,1.01,-0.19,0.87,13.05,36.85,-0.85,-26.33
23223687,0.01,-0.03,1.00,-0.74,0.56,1.76,37.04,-1.28,-26.39
23274362,-0.01,-0.05,1.00,-4.71,-0.96,1.39,37.92,-2.38,-27.33
23323565,0.00,-0.03,1.00,0.54,0.56,-1.29,37.04,-1.67,-26.72
23373796,0.00,-0.00,1.00,-7.52,-0.90,-3.00,36.80,-1.97,-26.20
23422899,0.02,0.35,1.00,3.71,0.93,1.21,36.71,-1.17,-26.11
23472813,-0.04,0.21,1.00,1.27,1.17,10.97,36.90,-1.67,-25.99
23522907,0.10,0.15,1.00,-0.92,1.23,3.16,37.16,-1.89,-26.61
23573281,-0.04,-0.09,1.01,-1.84,0.93,-27.90,36.93,-1.60,-25.45
23622408,-0.02,-0.06,1.00,-3.67,-0.66,-16.43,36.32,-1.22,-26.42
23673254,-0.51,-2.94,1.00,-1.66,0.56,9.20,36.47,-1.76,-24.56
23722392,-0.04,-0.13,1.01,3.71,-2.49,-30.04,35.46,-0.39,-23.44
23772401,-0.01,-0.15,1.01,0.36,0.50,13.23,35.35,-0.56,-24.83
23823260,-0.08,-0.37,1.01,1.33,-0.60,25.81,35.99,-1.39,-25.15
23872916,0.01,-0.40,1.00,0.85,0.32,-25.40,36.61,-0.71,-24.74
23921662,-0.04,-0.52,1.00,1.46,0.20,-29.55,36.23,-0.44,-24.11
23972542,-0.02,-0.09,1.01,6.89,-0.17,-14.66,36.96,0.13,-25.39
24021487,0.09,0.25,1.02,6.40,-0.54,8.59,36.91,0.34,-25.65
24071410,0.07,0.51,1.01,9.39,-0.78,16.10,37.10,0.60,-26.53
24121648,-0.01,0.44,1.01,1.09,-0.17,25.20,37.88,-1.20,-25.81
24171892,-0.00,-0.02,0.98,-4.83,0.32,5.91,38.21,-2.09,-27.33
24222195,-0.01,-0.07,1.00,-3.30,-1.15,-2.64,37.62,-1.21,-27.06
24270965,-0.01,-0.04,1.00,0.66,0.93,-0.62,37.51,-0.63,-26.00
24321644,-0.00,-0.04,1.00,3.47,0.75,0.54,37.04,-0.89,-26.78
24371487,0.00,-0.07,1.02,4.57,1.60,2.12,37.24,-1.06,-25.74
24420519,0.04,-0.42,1.01,-0.74,5.26,8.90,37.30,-0.85,-26.34
24471207,-0.01,-0.39,1.03,-7.76,7.46,1.21,37.17,-0.62,-26.43
24521670,0.04,-0.35,1.03,-13.99,2.52,-5.02,37.13,-0.73,-26.78
